idpeople,name,studied_under,source_location,sourceX,sourceY,target_location,targetX,targetY,year_start,year_end,congregation_name,title
52,Jacob Sasportas,,"Oran, Algeria",35.696944,-0.633056,"Amsterdam, Netherlands",52.370216,4.895168,1653,1664,Talmud Torah,
52,Jacob Sasportas,,"London, England",51.507351,-0.127758,"Hamburg, Germany",53.551085,9.993682,1665,1673,,
52,Jacob Sasportas,,"Hamburg, Germany",53.551085,9.993682,"Amsterdam, Netherlands",52.370216,4.895168,1673,1675,Talmud Torah,
52,Jacob Sasportas,,"Amsterdam, Netherlands",52.370216,4.895168,"Livorno, Italy",43.55,10.316667,1675,1680,,
52,Jacob Sasportas,,"Livorno, Italy",43.55,10.316667,"Amsterdam, Netherlands",52.370216,4.895168,1680,1693,Talmud Torah,
53,David Nieto,,"Livorno, Italy",43.55,10.316667,"London, England",51.507351,-0.127758,1702,1728,Kahal Kadosh Sha'ar Hashamayim,
53,David Nieto,,,,,"Livorno, Italy",43.55,10.316667,,1702,,
54,Jacob Jehudah Leon Templo,,,,,"London, England",51.507351,-0.127758,1674,1675,Kahal Kadosh Sha'ar Hashamayim,
54,Jacob Jehudah Leon Templo,,,,,"Hamburg, Germany",53.551085,9.993682,1628,1630,,
54,Jacob Jehudah Leon Templo,,"Hamburg, Germany",53.551085,9.993682,"Middelburg, Netherlands",51.498796,3.610998,1630,1643,,
54,Jacob Jehudah Leon Templo,,"Middelburg, Netherlands",51.498796,3.610998,"Amsterdam, Netherlands",52.370216,4.895168,1643,1675,Talmud Torah,
55,Moses Malki,,"Hebron, Ottoman Empire",31.533333,35.095,"Newport, United States",41.490102,-71.312829,1759,1759,Jeshuat Israel,
55,Moses Malki,,,,,"Hebron, Ottoman Empire",31.533333,35.095,,1758,,
56,Moses Bar David,,"Warsaw, Poland",52.229676,21.012229,"Newport, United States",41.490102,-71.312829,1772,1772,Jeshuat Israel,
56,Moses Bar David,,,,,"Warsaw, Poland",52.229676,21.012229,,1771,,
57,Tobiah ben Jehudah,,"Warsaw, Poland",52.229676,21.012229,"Newport, United States",41.490102,-71.312829,1773,1773,Jeshuat Israel,
57,Tobiah ben Jehudah,,,,,"Warsaw, Poland",52.229676,21.012229,,1772,,
58,Samuel Cohen,,"Hebron, Ottoman Empire",31.533333,35.095,"Newport, United States",41.490102,-71.312829,1775,1775,Jeshuat Israel,
58,Samuel Cohen,,,,,"Hebron, Ottoman Empire",31.533333,35.095,,1774,,
